Time (Sec);S1;S3;S2;S9;S7;S8;S10;S5;S4;S6;S27;S30;S31;S32;S33;S34;S35;S36;S37;S38;S39;S40;S41;S42;S43;S44;S45;S46;S47;S48;S49;S50;S51;S52;S53;S54;S55;S56;S57;S58;S59;
0.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;1000.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;
0.10353066666666666;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;100.0;100.0;100.0;1000.0;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9972544;19160.0;19160.0;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;
1.026666666666666;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;1000.0;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;
1.026666666666666;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;1000.0;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;
1.0363399999999994;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;1000.0;19159.9915712;19159.9881392;19159.9881392;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;
1.0363399999999994;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;1000.0;19159.9915712;19159.9810352;19159.9810352;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;
1.0460133333333328;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;1000.0;19159.9881392;19159.9810352;19159.9810352;19159.9881392;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9881392;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;
1.0460133333333328;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;1000.0;19159.9810352;19159.9810352;19159.9810352;19159.9810352;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9810352;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;
1.0556866666666662;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;1000.0;19159.9810352;19159.9810352;19159.9810352;19159.9810352;19159.9881392;19159.9915712;19159.9881392;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9881392;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9810352;19159.9881392;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;
1.0556866666666662;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;1000.0;19159.9810352;19159.9810352;19159.9810352;19159.9810352;19159.9810352;19159.9915712;19159.9810352;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9810352;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9810352;19159.9810352;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;
1.0653599999999996;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;99.9972544;1000.0;19159.9810352;19159.9810352;19159.9810352;19159.9810352;19159.9810352;19159.9881392;19159.9810352;19159.9881392;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9810352;19159.9881392;19159.9915712;19159.9915712;19159.9915712;19159.9810352;19159.9810352;19159.9881392;19159.9915712;19159.9915712;19159.9915712;19159.9915712;
1.1040533333333333;99.9938224;99.9938224;99.9938224;99.9972544;99.9938224;99.9938224;99.9972544;99.9972544;99.9972544;99.9972544;1000.0;19159.9810352;19159.9810352;19159.9810352;19159.9810352;19159.9810352;19159.9810352;19159.9810352;19159.9810352;19159.9810352;19159.9810352;19159.9810352;19159.9881392;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9810352;19159.9810352;19159.9810352;19159.9810352;19159.9810352;19159.9810352;19159.9810352;19159.9810352;19159.9810352;19159.9810352;19159.9810352;19159.9881392;
